ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
S112-NK-o05,2,0.566830531,-0.291919456,-0.821191724,0.909355293,0.108913718,-0.302808877,0.540331328,0.150240797,-1.496118126,0.966836829,-0.390569479,-0.760077216,-0.487455935,-0.663689024
S113-NU-o06,2,-1.000871964,1.332348461,1.008125528,-0.854978675,0.444987164,-0.598513666,-0.538393398,0.214813319,0.731285375,-0.447838878,-0.480601362,-0.006952858,-0.815062573,-1.370259131
S114-ZB-o07,2,-1.718297593,0.173659426,-0.212867732,0.037409294,0.353913522,-0.962942052,-1.426301215,-0.615711436,-0.443704835,-0.982568297,-0.741275165,-1.631246609,-1.311602008,-1.032570653
S117-RL-o08,2,1.108116631,1.699834212,1.805362677,-0.259297914,0.656260075,-0.240921025,-0.730446602,-2.997941375,1.002937764,-0.56674435,0.641075651,-1.694153593,0.020212293,0.742155306
S121-ON-o09,2,-0.437026625,0.736645653,1.406196354,3.473552808,-0.176691287,-0.830207124,-0.314972742,0.564398761,1.671577168,1.59625101,0.586576269,0.162568106,-0.28817037,-0.866915378
S124-EA-o10,2,1.580893989,-1.254644231,-1.091116764,0.666116281,-0.961368485,-0.032699767,0.00733965,-0.29684555,-0.971716634,0.858703027,0.363487949,-1.382542465,-0.468340599,-0.004925874
S125-LSh-o11,2,1.083092419,-0.135997146,-1.423848688,1.273954567,-0.249029857,-0.240559647,0.893440554,0.172395008,0.861667442,1.561877165,-0.836908742,0.925917297,0.060559483,-0.516154551
S127-MS-o12,2,-0.008636314,-0.021308652,0.312801866,0.190205828,-0.986993278,0.001198043,0.200008575,0.124967337,0.950410175,0.909545782,0.874434688,0.129536772,0.320697176,-0.057869772
S132-BM-o13,2,-1.710871073,1.334205049,0.86838981,1.686080442,-1.289152224,-0.566827117,0.79469764,0.295119691,1.599729695,1.098041424,0.812155782,0.416063274,-0.258950166,-0.138811791
S133-OT-o14,2,1.289844112,0.955029069,1.001154281,0.878415231,-0.093359657,0.972379051,0.226481742,0.00945833,0.798788287,1.194119193,1.576332174,-0.854888351,-0.34347391,0.255341238
S134-LJ-o15,2,-1.505943081,0.16648783,0.558135026,-0.543636289,-0.309240971,-0.258363262,-1.436407862,-1.193532655,-0.094113492,-0.189475174,-0.614387445,-1.578134332,-0.3878226,0.471712632
S135-MG-o16,2,0.38619717,0.428804266,0.315110585,,-1.240117317,-0.317728272,-0.661001356,2.52292246,0.29709449,0.65703734,0.9302429,0.017889878,-0.28976815,-1.149967942
S136-TM-o17,2,-1.510412323,-0.025191797,0.602501363,-0.625866569,-1.078763497,-1.066716538,-0.106447416,-2.628799352,-0.401868983,-0.807869988,0.017971806,-0.777845706,-0.605916726,0.273275043
S137-NL-o18,2,0.069170901,0.310263008,-0.433137566,0.589522126,0.673715375,-2.220265091,-0.233003573,0.155081843,0.009465669,-0.069341308,-0.022198896,-0.446141276,-0.793242466,-1.289325421
S138-IM-o19,2,-1.094206596,-1.433513719,-1.172883592,-1.28209892,0.4432431,,-1.165750843,-0.038929575,-1.648470774,-1.069627042,-0.454672819,0.717206512,-1.117945547,-1.880154828
S139-BG-o20,2,-1.646012127,0.724642529,-0.337755103,-1.026943964,0.839294007,,-0.956894923,-0.931270284,-0.612618273,-0.348665726,0.843898204,-0.429149628,0.269179969,0.251353719
S150-LZ-o21,2,0.693137911,-0.151306514,-0.057527718,0.778664705,0.273381367,0.37549174,-0.32731384,0.388581979,0.037589303,0.401876024,-0.807385415,0.51107938,0.657258857,-0.101777045
S151-TM-o22,2,-0.070779037,-0.74642316,-0.284487896,-0.430060768,-0.312570474,,2.02874013,1.14574072,-1.132546277,-0.82109654,-0.500208244,-0.060571852,-0.887557354,-0.7653484
S152-GM-o23,2,-0.300535732,1.340700759,1.653478864,0.389241644,-1.203832962,-0.123759438,0.148726057,-0.355604963,2.393009141,0.491457141,0.720818204,0.238039623,-0.115532591,0.415912213
S153-ShK-o24,2,0.686263888,-0.445391424,-0.168204426,1.116668315,0.675284625,0.130689236,-0.572169527,-1.503400002,0.987904224,0.886540507,0.173190355,0.558120673,-0.346280252,-0.504655498
S154-LT-o25,2,-0.491900959,-0.362168991,-0.007466376,-0.760122848,-1.182668292,0.279831107,2.492731668,0.882594444,-0.015127491,-0.723365466,0.10955854,-1.301960407,-0.070128272,-0.69869027
S155-NG-o26,2,0.124782361,-0.434484355,-0.351999459,-0.225164575,-1.238756208,-0.685258537,-0.449320025,-3.215512115,-0.468986844,-0.69158639,0.488748214,0.12227698,0.293531655,0.21771589
S156-GL-o27,2,-0.651820858,-1.613259003,-0.538234533,0.561802986,1.144873198,-0.312425112,-0.073001063,0.128736572,0.234282105,0.006916608,0.693773055,-0.381221925,-0.610959171,-0.899826924
S157-Psh-o28,2,-0.20726016,-0.7825608,-0.566378735,0.261828197,-0.864244643,0.774925706,0.936692755,0.512663073,-1.027502729,0.839338131,0.649505151,-1.990665804,-0.860778587,-1.192219949
S158-GK-o29,2,-0.854145551,-0.47795411,-0.421716927,-0.757267499,-1.005693312,0.76446913,0.302471311,0.564361915,-0.942375802,-0.892267001,-0.320599461,-0.177723935,-0.775191808,-0.540251094
S159-TM-o30,2,-0.004584422,-0.286173176,-0.274451192,0.816359111,1.096740621,-0.068563729,1.339834893,1.265045568,0.498430724,0.330944048,0.417437386,-1.020313002,-1.109042257,-1.107341981
S160-OSL-o75,2,-1.719544941,-0.7263491,-2.540035915,0.689309155,-0.542718491,-0.633724826,0.884878478,0.206451672,-0.211295468,1.430999452,-0.165639849,-0.237955174,-0.942314124,-1.391071018
S161-Dkh-o61,2,-1.628076101,-0.203258929,0.536406816,-0.341922336,-0.622529054,-0.184723854,0.153630551,0.099871159,-0.009465669,-0.670833997,-0.864542441,-0.718695055,-0.838612116,-1.032159468
S162-SJ-o62,2,-1.495414091,-1.151229784,-0.72186729,-0.019263545,-0.018731999,0.603322608,-0.212077686,-1.05486075,-0.328962684,-0.137160563,-0.476558736,-1.22815362,-0.854624177,-1.396286531
S163-NL-o63,2,-0.338412965,-0.938802283,-0.784146935,0.95735692,-0.123244836,0.449295689,0.783719588,0.882988109,-0.344404026,0.361967729,-0.849931517,-1.297559828,-0.731901323,-1.903233404
S184-GC-o301,2,1.294991904,0.637848561,0.618700577,-0.323984872,0.411518945,0.534042906,-0.001540532,0.315241617,1.596504341,-0.678166003,-0.138002981,-1.327645793,-0.332753641,-0.957807511
S185-RK-o302,2,0.929645519,0.72120453,0.982959442,0.424331517,1.06169304,0.100762647,2.344787758,,0.65390012,-0.030635396,-0.027545297,-0.247244597,-0.814928537,-0.381285988
S186-LC-o303,2,-1.206077165,0.952597789,0.965005684,0.502760943,-2.954434562,1.116355784,1.052201235,-0.030376824,-0.069214282,0.320333279,1.724388921,0.77850747,0.198990572,-0.100219234
S187-LC-o304,2,-1.71483788,-1.866264573,-1.05442824,0.663852928,-1.216108874,0.847179179,1.05360226,0.771595983,-1.019057225,0.567874956,0.914148105,-0.249715412,-0.638966953,-1.182829228
S188-DD-o305,2,0.705483664,1.189563054,1.224514964,0.697503677,-1.720349825,0.198500656,0.277098466,-0.08878874,1.095430278,0.280796926,0.74347142,-0.596579962,-0.552190614,-0.184409648
S189-GQ-o306,2,0.649452709,0.84490856,1.580327809,-1.366628408,0.363795292,-0.241092232,0.177501972,0.552492974,1.349660113,0.804310258,-0.173995833,0.506038943,-0.539465137,-1.160553983
S190-NL-o307,2,0.205463373,-1.341465939,-0.900492812,1.361947565,-0.819637263,0.838091704,0.478503438,0.198135033,-0.424609878,1.771784974,0.956297451,-1.558345342,-0.686782772,-0.51560433
S191-GG-o308,2,-1.275634947,2.142553963,2.431918532,2.664463601,-0.749474982,0.133995911,0.313796469,-0.331689582,1.770747683,1.414696275,-0.001020739,-1.634795823,-1.298254771,-1.540328756
S192-SK-o309,2,-0.303943129,-0.446836119,0.334922481,-0.49363468,-0.582045009,-0.320451343,-0.880117666,-0.844224368,-0.392816456,-0.696473989,-0.863310684,-0.400244644,-0.552126926,0.051572918
S193-MU-o310,2,-0.654156406,1.90473245,1.713400369,-1.124101246,-1.185292564,-1.09880139,-0.521379906,-0.395993227,1.87514045,0.548582084,1.384714904,-0.311305388,-0.14508197,0.376524858
S194-RG-o311,2,-0.553203665,-0.254964533,0.38863063,1.145524215,-0.014868449,0.489541766,0.582094576,-0.009146237,1.073433911,1.109587401,-0.553682444,-0.379748661,-0.299792326,-0.587578667
S195-MM-o312,2,-1.095931054,1.96871489,1.582883351,0.164455387,-0.170404347,1.589368275,1.123363537,0.248510119,0.342488214,-0.177434067,1.413057922,-0.724151508,-1.676578903,-1.328734111
S196-LI-o313,2,-0.173578133,1.654096201,2.145178959,-0.762601474,1.829120578,2.736379282,,,0.467716955,-1.320495235,-0.185773103,0.064973792,-0.589071295,-1.752338199
S197-MJ-o314,2,1.311019176,1.638320276,0.983718613,-0.215026307,-0.361914848,0.8018777,0.65674989,0.413444681,1.122144648,-0.838673227,-0.609985177,-1.109336716,-1.559259315,-1.772516346
S198-CJ-o315,2,-1.629623858,1.301086142,1.673712693,-1.034053563,0.9471287,1.386460677,0.920127764,-1.174934605,0.704834468,-0.256531732,-0.961232682,0.006952858,-0.924144605,0.004925874
S199-LC-o316,2,-1.232000715,1.955300871,2.256571888,-1.027841604,-0.955808533,-2.202257738,0.50594674,0.779915843,1.226002833,0.58115394,0.068788529,-0.269829779,-0.475934832,-1.451731715
S200-GF-o356,2,-1.626688388,-0.919288296,-0.560388165,0.639818398,-0.120559268,0.988805602,1.200597841,0.671780935,-0.270752566,-0.147744445,-1.053198971,0.115850618,-0.811280446,-1.869372591
S201-EC-o358,2,0.9010595,0.028505147,0.202254719,-0.023376969,0.213719622,-0.284952583,0.226506768,0.052891871,1.172095286,-0.205250994,0.604822926,-0.140038756,-0.547389797,-0.98782273
S202-XD-o359,2,-0.684948721,-1.549584701,-0.771823982,-0.748473694,0.334219186,0.491353202,0.670221097,0.091959502,-0.938779269,-0.514663352,-0.013186844,-0.54989221,-2.084595604,-1.280450755
S203-NC-o360,2,-0.259835968,0.047172873,0.205763378,0.448967871,-1.445970035,1.198005374,2.008396727,0.716828815,-0.152726287,0.776231492,1.424164685,-0.752983805,-0.719048602,-1.458568164
S204-NG-o361,2,0.563418589,-0.123916941,-0.558116501,-0.327878437,-2.152997282,0.105524009,0.13448219,-0.378270602,-0.69509988,-0.781705715,1.501266662,-1.207662035,-0.729559673,-0.466136876
S205-MN-o365,2,-0.041335541,0.207975842,1.071844768,0.101809998,-0.395456661,0.663741463,-0.863789728,0.009146237,0.627389842,-0.788792438,-0.73064191,-0.190622226,0.410290331,-0.153135998
S206-KR-o366,2,-0.627535646,0.200095566,0.839940217,0.187109598,-1.412261719,-0.182809729,-0.418219461,-0.07836903,1.509320906,0.903389121,0.520993491,-0.102964285,-0.206773083,-0.670125195
S207-NS-o367,2,-0.782903644,-0.062742518,-0.182798065,-0.424562286,1.405939213,1.067785955,0.729509798,0.036564936,-0.200845212,-0.127270481,1.281274803,-1.696340503,-0.835034941,-0.019951607
