Age,Subj,Time [ms],l_soa_GFP,25_GFP,RT_GFP
Young,35,599,1.296187758,1.859410524,0.804587662
Young,35,601,1.28624022,1.845936418,0.788566709
Young,35,603,1.278357148,1.829065323,0.797184289
Young,35,605,1.282328486,1.812410712,0.821450233
Young,35,607,1.285705686,1.80002296,0.847697496
Young,35,609,1.293010354,1.780090451,0.867702961
Young,35,611,1.296129465,1.753814459,0.874703467
Young,35,613,1.299739361,1.719424009,0.867042184
Young,35,615,1.303388715,1.682851672,0.848909795
Young,35,617,1.32825923,1.651777267,0.825059652
Young,35,618,1.375979066,1.634331226,0.797351122
Young,35,620,1.442802906,1.632042527,0.771719038
Young,35,622,1.508755088,1.633023739,0.748126864
Young,35,624,1.555483937,1.626653671,0.731505096
Young,35,626,1.578071833,1.609901428,0.733218789
Young,35,628,1.58910203,1.58758688,0.756951451
Young,35,630,1.589931369,1.566201687,0.808003902
Young,35,632,1.588822007,1.554351687,0.876980126
Young,35,634,1.597828627,1.5513767,0.951895952
Young,35,636,1.620771885,1.547526002,1.027088165
Young,35,638,1.644354463,1.535793066,1.084872246
Young,35,640,1.67539835,1.510103345,1.128802657
Young,35,642,1.7107867,1.471749067,1.165564418
Young,35,644,1.743066907,1.431007981,1.199720263
Young,35,646,1.771671057,1.402900219,1.235561848
Young,35,648,1.784652114,1.393350482,1.275880456
Young,35,650,1.793412566,1.399054289,1.324536204
Young,35,652,1.787054777,1.409522295,1.372093201
Young,35,654,1.775188923,1.418707252,1.419413924
Young,35,656,1.753871799,1.421990275,1.474300504
Young,35,658,1.730871201,1.41716671,1.539705038
Young,35,659,1.70831573,1.410100937,1.615483522
Young,35,661,1.675773978,1.402944446,1.685112715
Young,35,663,1.644038677,1.394499779,1.747016072
Young,35,665,1.613183022,1.387005329,1.791215897
Young,35,667,1.580848098,1.385940075,1.814296961
Young,35,669,1.572482944,1.391949415,1.81433785
Young,35,671,1.575789928,1.407885075,1.798161745
Young,35,673,1.584248185,1.432157755,1.782015562
Young,35,675,1.589558363,1.464194059,1.768758059
Young,35,677,1.57480371,1.499469399,1.763215423
Young,35,679,1.535814643,1.541252375,1.775369763
Young,35,681,1.471535444,1.584959149,1.798113227
Young,35,683,1.393633604,1.63405478,1.826228976
Young,35,685,1.330417752,1.684758782,1.852504253
Young,35,687,1.285324931,1.733039618,1.872462511
Young,35,689,1.257340908,1.778336763,1.884771585
Young,35,691,1.234650493,1.820717096,1.877655387
Young,35,693,1.219194293,1.854797959,1.849405169
Young,35,695,1.205871224,1.88082993,1.801787376
Young,35,697,1.198037744,1.896344662,1.73508513
Young,35,699,1.196043611,1.902350426,1.655133963
Young,35,700,1.195988417,1.899561524,1.575915098
Young,36,-298,0.483501494,0.545492828,0.494349033
Young,36,-296,0.386287898,0.508447468,0.523662508
Young,36,-294,0.325291902,0.466576368,0.537153363
Young,36,-292,0.361564517,0.425079823,0.540125012
Young,36,-290,0.456214964,0.385563076,0.54226011
Young,36,-288,0.541771054,0.343274534,0.557042718
Young,36,-286,0.588898182,0.298806995,0.581167221
Young,36,-284,0.589166462,0.265333503,0.60830301
Young,36,-282,0.556132257,0.256451786,0.629484057
Young,36,-280,0.513460934,0.280126661,0.637954414
Young,36,-278,0.493231058,0.320322663,0.621510327
Young,36,-276,0.502338946,0.359682828,0.58243984
Young,36,-274,0.529593468,0.388419747,0.523558378
Young,36,-272,0.55941391,0.401998788,0.460553408
Young,36,-270,0.573484242,0.403644115,0.406834364
Young,36,-268,0.569264829,0.398328781,0.360029191
Young,36,-266,0.554077089,0.391273975,0.326659769
Young,36,-264,0.532326043,0.385427535,0.297423214
Young,36,-262,0.495402366,0.377878159,0.269574732
Young,36,-260,0.439053029,0.367896378,0.258144289
Young,36,-258,0.381034166,0.357704729,0.279508978
Young,36,-257,0.326558977,0.356295198,0.335340112
Young,36,-255,0.288924694,0.357374132,0.403476924
Young,36,-253,0.284708053,0.355486572,0.455801249
Young,36,-251,0.303666055,0.353944182,0.477899998
Young,36,-249,0.328653127,0.337975681,0.463034451
Young,36,-247,0.343685508,0.313529909,0.416071683
Young,36,-245,0.344762146,0.289417922,0.357480824
Young,36,-243,0.34106493,0.277300119,0.318402797
Young,36,-241,0.34187001,0.286807537,0.321511805
Young,36,-239,0.356947362,0.312920004,0.353887528
Young,36,-237,0.383574754,0.33997786,0.38513267
Young,36,-235,0.409154236,0.356437206,0.39115265
Young,36,-233,0.42437759,0.360145003,0.367003262
Young,36,-231,0.423254907,0.351552606,0.32171756
Young,36,-229,0.408247262,0.336957932,0.286064178
Young,36,-227,0.389970422,0.32320407,0.281948745
Young,36,-225,0.381032109,0.3168495,0.311092377
Young,36,-223,0.390422702,0.316120565,0.342931867
Young,36,-221,0.417116642,0.313923538,0.352043599
Young,36,-219,0.444003016,0.314315975,0.332633078
Young,36,-217,0.455628753,0.317768335,0.289404362
Young,36,-216,0.445647508,0.328261673,0.242829397
Young,36,-214,0.413430423,0.347909153,0.2293455
Young,36,-212,0.366084397,0.366716355,0.258882999
Young,36,-210,0.320742875,0.374766827,0.310013443
Young,36,-208,0.301030219,0.365225047,0.350092947
Young,36,-206,0.319851756,0.338552803,0.371096879
Young,36,-204,0.364430636,0.300743848,0.376977414
Young,36,-202,0.415936768,0.270356745,0.370147794
Young,36,-200,0.464935958,0.260826886,0.368943304
Young,36,-198,0.514913023,0.287243336,0.377956152
Young,36,-196,0.565370977,0.344437629,0.388599843
Young,36,-194,0.61722219,0.415058255,0.401008219
Young,36,-192,0.662715733,0.481424689,0.41092369
Young,36,-190,0.689425588,0.532752156,0.412428141
Young,36,-188,0.686997473,0.566192985,0.413593978
Young,36,-186,0.647677958,0.575633228,0.415920287
Young,36,-184,0.579302013,0.561566651,0.424371332
Young,36,-182,0.498459637,0.524718821,0.436430156
Young,36,-180,0.434360236,0.467220098,0.439979911
Young,36,-178,0.415050566,0.396258175,0.429444283
Young,36,-176,0.434356898,0.319053948,0.407563686
Young,36,-175,0.469261259,0.250916719,0.384947687
Young,36,-173,0.479477882,0.214092225,0.369249851
Young,36,-171,0.450052291,0.221448153,0.368894815
Young,36,-169,0.394344896,0.253167361,0.385181457
Young,36,-167,0.3477709,0.285670459,0.408288598
Young,36,-165,0.353365272,0.305210263,0.428789049
Young,36,-163,0.410511941,0.303681701,0.444816381
Young,36,-161,0.478303641,0.284252554,0.449703783
Young,36,-159,0.519242108,0.251190096,0.443163604
Young,36,-157,0.513511121,0.219624057,0.423410416
Young,36,-155,0.462532699,0.208967298,0.394299328
Young,36,-153,0.382004797,0.22486873,0.359030515
Young,36,-151,0.306796193,0.252765596,0.32826969
Young,36,-149,0.280469835,0.277734935,0.308532387
Young,36,-147,0.315643191,0.288433254,0.304680049
Young,36,-145,0.364792943,0.287543148,0.312944978
Young,36,-143,0.39206475,0.275892556,0.322689801
Young,36,-141,0.386452347,0.263204992,0.322609335
Young,36,-139,0.349469364,0.256245792,0.309580207
Young,36,-137,0.29809919,0.261253834,0.285019875
Young,36,-135,0.258832395,0.277923942,0.256525904
Young,36,-133,0.256077677,0.298747808,0.234769166
Young,36,-132,0.285015047,0.320337743,0.2280377
Young,36,-130,0.321812749,0.33810702,0.23402366
Young,36,-128,0.353280067,0.350404531,0.244002998
Young,36,-126,0.384505898,0.359223694,0.248577759
Young,36,-124,0.416960478,0.36341241,0.246779919
Young,36,-122,0.448819727,0.364000589,0.241171688
Young,36,-120,0.476736128,0.356502801,0.239208892
Young,36,-118,0.49204272,0.34538728,0.245225698
Young,36,-116,0.490099698,0.330818236,0.258813947
Young,36,-114,0.466621161,0.315027356,0.272586346
Young,36,-112,0.433960617,0.298880249,0.284684092
Young,36,-110,0.401396632,0.281409949,0.29117313
Young,36,-108,0.374433011,0.266765326,0.291598916
Young,36,-106,0.353172839,0.257516056,0.288100123
Young,36,-104,0.338430494,0.255460501,0.286698043
Young,36,-102,0.326458037,0.266658038,0.293067366
Young,36,-100,0.315940648,0.290782809,0.307623118
Young,36,-98,0.307225853,0.325019926,0.329349518
Young,36,-96,0.311029613,0.356635898,0.353789747
Young,36,-94,0.330589116,0.38055858,0.377650678
Young,36,-92,0.358686298,0.393802106,0.399069369
Young,36,-91,0.392724961,0.395145267,0.417437911
Young,36,-89,0.424629152,0.390052468,0.428583503
Young,36,-87,0.450509489,0.384883732,0.424522489
Young,36,-85,0.472732186,0.386396259,0.401717275
Young,36,-83,0.492116272,0.39236635,0.358111471
Young,36,-81,0.506841004,0.398465931,0.299093425
Young,36,-79,0.507526577,0.400614023,0.236994386
Young,36,-77,0.483023793,0.394436628,0.202579483
Young,36,-75,0.439361155,0.386977047,0.220688105
Young,36,-73,0.377469748,0.377345175,0.269738019
Young,36,-71,0.314262718,0.368365675,0.314473003
Young,36,-69,0.272406489,0.366965532,0.336426765
Young,36,-67,0.266325682,0.369969577,0.329586685
Young,36,-65,0.289201915,0.373141378,0.30011794
Young,36,-63,0.318277746,0.365700573,0.26183933
Young,36,-61,0.335520059,0.345386684,0.230325252
Young,36,-59,0.338743538,0.313666075,0.216720983
Young,36,-57,0.340643495,0.279346555,0.21610938
Young,36,-55,0.36097154,0.255844593,0.21716556
Young,36,-53,0.408998698,0.25349322,0.218004465
Young,36,-51,0.475562721,0.269794583,0.226932064
Young,36,-49,0.533082485,0.293959826,0.25014919
Young,36,-48,0.565497041,0.31295225,0.286235929
Young,36,-46,0.563368976,0.324993253,0.32341978
Young,36,-44,0.52851671,0.326518685,0.352102309
Young,36,-42,0.475122929,0.327195406,0.375527859
Young,36,-40,0.438474566,0.334845126,0.405772209
Young,36,-38,0.440071493,0.350651741,0.450523674
Young,36,-36,0.483531147,0.370477498,0.510880172
Young,36,-34,0.539836586,0.387372911,0.572432816
Young,36,-32,0.587463677,0.393389225,0.618596911
Young,36,-30,0.61092788,0.386116326,0.636890233
Young,36,-28,0.608803511,0.367542744,0.629576802
Young,36,-26,0.597872555,0.340346217,0.600703955
Young,36,-24,0.59485054,0.314253449,0.571986556
Young,36,-22,0.599996686,0.294298023,0.557548523
Young,36,-20,0.609119236,0.285538286,0.561638951
Young,36,-18,0.609351397,0.278590828,0.567152262
Young,36,-16,0.596939027,0.286462694,0.563766301
Young,36,-14,0.572286189,0.307093441,0.542326033
Young,36,-12,0.540005326,0.341937989,0.513310432
Young,36,-10,0.510258019,0.394459099,0.487694681
Young,36,-8,0.491742134,0.461502045,0.484917432
Young,36,-7,0.480961591,0.534867048,0.49869296
Young,36,-5,0.468360245,0.605021417,0.510567188
Young,36,-3,0.457248479,0.663301647,0.51595062
Young,36,-1,0.463662148,0.70497781,0.506264091
Young,36,1,0.50275439,0.721719027,0.48857671
Young,36,3,0.570830405,0.723074734,0.468983233
Young,36,5,0.642990708,0.717305362,0.45209983
Young,36,7,0.700301468,0.711585939,0.442959726
Young,36,9,0.71590215,0.705858707,0.439632267
Young,36,11,0.690012515,0.703910887,0.448454499
Young,36,13,0.618422627,0.700669229,0.476227224
Young,36,15,0.51993072,0.69186753,0.517692804
Young,36,17,0.417670041,0.672923565,0.573207021
Young,36,19,0.363204628,0.634894788,0.621658385
Young,36,21,0.36471957,0.581484497,0.653089583
Young,36,23,0.393654674,0.518784463,0.656057715
Young,36,25,0.416564614,0.460637838,0.64030844
Young,36,27,0.415800214,0.414677948,0.618800342
Young,36,29,0.391346127,0.388110906,0.600578487
Young,36,31,0.359013915,0.380979091,0.582069755
Young,36,33,0.341461092,0.382610977,0.563742459
Young,36,34,0.342563301,0.383899868,0.54137367
Young,36,36,0.356914759,0.384295732,0.530043662
Young,36,38,0.366642326,0.39221409,0.54224205
Young,36,40,0.361188203,0.411968112,0.580939472
Young,36,42,0.343437284,0.447654396,0.631646872
